date,ticker,open,high,low,close,percent_change
2013-10-24,LTC,3.0,3.0,3.0,3.0,0.0
2013-10-25,LTC,3.0,3.0,3.0,3.0,0.0
2013-10-26,LTC,3.0,3.0,3.0,3.0,0.0
2013-10-27,LTC,3.0,3.0,3.0,3.0,0.0
2013-10-28,LTC,3.0,3.0,3.0,3.0,0.0
2013-10-29,LTC,3.0,3.0,3.0,3.0,0.0
2013-10-30,LTC,3.0,3.0,3.0,3.0,0.0
2013-10-31,LTC,3.0,3.0,3.0,3.0,0.0
2013-11-01,LTC,3.0,3.0,3.0,3.0,0.0
2013-11-02,LTC,3.0,3.0,3.0,3.0,0.0
2013-11-03,LTC,3.0,3.0,3.0,3.0,0.0
2013-11-04,LTC,3.0,3.0,3.0,3.0,0.0
2013-11-05,LTC,3.0,3.0,3.0,3.0,0.0
2013-11-06,LTC,3.0,3.0,3.0,3.0,0.0
2013-11-07,LTC,3.0,3.2,3.0,3.2,6.666666666666672
2013-11-08,LTC,3.2,3.2,3.2,3.2,0.0
2013-11-09,LTC,3.2,3.2,3.2,3.2,0.0
2013-11-10,LTC,3.2,3.2,3.2,3.2,0.0
2013-11-11,LTC,3.2,3.2,3.2,3.2,0.0
2013-11-12,LTC,3.2,3.2,3.2,3.2,0.0
2013-11-13,LTC,3.2,5.0,3.2,5.0,56.249999999999986
2013-11-14,LTC,5.0,5.0,3.0,3.0,-40.0
2013-11-15,LTC,3.0,5.0,3.0,5.0,66.66666666666666
2013-11-16,LTC,5.0,5.0,4.25,4.25,-15.0
2013-11-17,LTC,4.25,4.25,4.25,4.25,0.0
2013-11-18,LTC,4.25,5.0,4.25,5.0,17.647058823529413
2013-11-19,LTC,5.0,10.0,5.0,9.0,80.0
2013-11-20,LTC,9.0,9.0,9.0,9.0,0.0
2013-11-21,LTC,9.0,9.0,9.0,9.0,0.0
2013-11-22,LTC,9.0,11.0,9.0,10.0,11.11111111111111
2013-11-23,LTC,10.0,14.5,10.0,12.8,28.000000000000007
2013-11-24,LTC,12.8,13.8,10.0,10.0,-21.875000000000007
2013-11-25,LTC,10.0,14.0,10.0,12.0,20.0
2013-11-26,LTC,12.0,20.5,11.0,20.5,70.83333333333334
2013-11-27,LTC,20.5,50.0,20.5,35.99,75.56097560975611
2013-11-28,LTC,35.99,65.0,35.99,46.1,28.091136426785212
2013-11-29,LTC,46.1,50.0,30.2,41.0,-11.062906724511933
2013-11-30,LTC,41.0,48.0,38.0,41.0,0.0
2013-12-01,LTC,41.0,41.21,24.48,35.3,-13.902439024390251
2013-12-02,LTC,35.3,40.5,29.8,33.51,-5.07082152974504
2013-12-03,LTC,33.51,36.4,32.0,33.0,-1.5219337511190631
2013-12-04,LTC,33.0,43.0,31.0,32.2,-2.4242424242424154
2013-12-05,LTC,32.2,42.99,29.0,38.0,18.012422360248436
2013-12-06,LTC,38.0,39.2,32.0,32.0,-15.789473684210526
2013-12-07,LTC,32.0,32.0,11.0,22.78,-28.812499999999996
2013-12-08,LTC,22.78,28.4,22.78,27.93,22.607550482879713
2013-12-09,LTC,27.93,32.59,27.0,31.98,14.500537056928037
2013-12-10,LTC,31.98,36.6,31.98,35.26,10.256410256410248
2013-12-11,LTC,35.26,35.26,28.78,31.57,-10.465116279069761
2013-12-12,LTC,31.57,32.93,30.98,31.0,-1.8055115616091233
2013-12-13,LTC,31.0,33.0,30.01,30.59,-1.322580645161291
2013-12-14,LTC,30.59,32.39,30.01,30.01,-1.8960444589735153
2013-12-15,LTC,30.01,31.8,29.15,30.92,3.0323225591469516
2013-12-16,LTC,30.92,32.13,25.0,25.77,-16.655886157826654
2013-12-17,LTC,25.77,29.0,20.01,23.74,-7.87737679472255
2013-12-18,LTC,23.74,23.74,8.48,13.0,-45.24010109519798
2013-12-19,LTC,13.0,20.0,13.0,19.8,52.307692307692314
2013-12-20,LTC,19.8,22.0,17.22,18.85,-4.797979797979794
2013-12-21,LTC,18.85,18.85,17.13,17.13,-9.124668435013275
2013-12-22,LTC,17.13,19.01,17.13,18.0,5.078809106830128
2013-12-23,LTC,18.0,18.74,16.73,17.2,-4.444444444444448
2013-12-24,LTC,17.2,18.0,17.2,18.0,4.651162790697678
2013-12-25,LTC,18.0,22.06,17.5,22.06,22.555555555555546
2013-12-26,LTC,22.06,25.0,21.9,24.97,13.191296464188579
2013-12-27,LTC,24.97,24.97,22.0,22.06,-11.653984781738087
2013-12-28,LTC,22.06,23.33,22.06,22.33,1.2239347234814124
2013-12-29,LTC,22.33,24.51,22.32,24.51,9.762651141961502
