date,ticker,open,high,low,close,percent_change
2015-01-21,XRP,0.01748,0.0175,0.01523,0.01523,0.0
2015-01-22,XRP,0.01523,0.0175,0.01523,0.01602,5.187130663164799
2015-01-23,XRP,0.01602,0.017,0.016,0.016,-0.12484394506865909
2015-01-24,XRP,0.016,0.01739,0.015,0.01739,8.687499999999993
2015-01-25,XRP,0.01739,0.01739,0.0156,0.017,-2.242668200114997
2015-01-26,XRP,0.017,0.0175,0.01469,0.01469,-13.588235294117654
2015-01-27,XRP,0.01469,0.017,0.01469,0.0155,5.513955071477195
2015-01-28,XRP,0.0155,0.0167,0.0131,0.015,-3.2258064516129057
2015-01-29,XRP,0.015,0.015,0.0131,0.0135,-9.999999999999998
2015-01-30,XRP,0.0135,0.015,0.0135,0.015,11.111111111111107
2015-01-31,XRP,0.015,0.015,0.0135,0.01499,-0.06666666666666396
2015-02-01,XRP,0.01499,0.01499,0.01351,0.01352,-9.806537691794524
2015-02-02,XRP,0.015,0.015,0.01327,0.01327,-1.8491124260355045
2015-02-03,XRP,0.01327,0.015,0.01327,0.0148,11.529766390354183
2015-02-04,XRP,0.0148,0.0148,0.014,0.014,-5.405405405405408
2015-02-05,XRP,0.014,0.01573,0.013,0.01573,12.357142857142861
2015-02-06,XRP,0.01573,0.01695,0.014,0.0155,-1.4621741894469231
2015-02-07,XRP,0.0155,0.0155,0.01401,0.01468,-5.290322580645158
2015-02-08,XRP,0.01468,0.01506,0.01428,0.01428,-2.7247956403269824
2015-02-09,XRP,0.01428,0.01467,0.0135,0.0135,-5.462184873949576
2015-02-10,XRP,0.0135,0.01467,0.011,0.01464,8.444444444444448
2015-02-11,XRP,0.01464,0.01464,0.011,0.01462,-0.13661202185792978
2015-02-12,XRP,0.01462,0.01463,0.01101,0.0143,-2.1887824897400763
2015-02-13,XRP,0.0143,0.01472,0.01201,0.01445,1.0489510489510425
2015-02-14,XRP,0.01445,0.01508,0.012,0.012,-16.955017301038055
2015-02-15,XRP,0.012,0.012,0.012,0.012,0.0
2015-02-16,XRP,0.01509,0.01509,0.012,0.01508,25.66666666666666
2015-02-17,XRP,0.01508,0.01508,0.01202,0.01301,-13.726790450928375
2015-02-18,XRP,0.01301,0.01499,0.01301,0.01499,15.219062259800145
2015-02-19,XRP,0.01499,0.01499,0.01307,0.01307,-12.808539026017343
2015-02-20,XRP,0.01307,0.01498,0.01307,0.01307,0.0
2015-02-21,XRP,0.01307,0.0141,0.01307,0.01307,0.0
2015-02-22,XRP,0.01307,0.01403,0.01307,0.01307,0.0
2015-02-23,XRP,0.01307,0.01403,0.01307,0.01403,7.345065034429998
2015-02-24,XRP,0.01403,0.01403,0.01307,0.01343,-4.2765502494654415
2015-02-25,XRP,0.01343,0.014,0.01307,0.014,4.24422933730455
2015-02-26,XRP,0.014,0.014,0.0116,0.013,-7.1428571428571495
2015-02-27,XRP,0.013,0.01398,0.0116,0.01206,-7.23076923076923
2015-02-28,XRP,0.01206,0.0132,0.0116,0.01178,-2.321724709784403
2015-03-01,XRP,0.01178,0.01348,0.011,0.01101,-6.536502546689301
2015-03-02,XRP,0.01101,0.01208,0.006611,0.006611,-39.954586739327894
2015-03-03,XRP,0.006611,0.01205,0.006611,0.008505,28.64922099531086
2015-03-04,XRP,0.008505,0.012,0.008426,0.012,41.09347442680776
2015-03-05,XRP,0.012,0.012,0.009331,0.012,0.0
2015-03-06,XRP,0.012,0.012,0.009231,0.0104,-13.33333333333334
2015-03-07,XRP,0.0104,0.012,0.0103,0.0103,-0.9615384615384557
2015-03-08,XRP,0.0103,0.01103,0.009763,0.009777,-5.07766990291263
